,WAVELENGTH(nm),AM 1.5G,EQE(%),Energy(eV),PF,EQE*PF(mA/cm²),Integrated Jsc(mA/cm²),Jsc(mA/cm²)
0,300.0,0.0010205,-3.730710263,4.133333333333334,0.00024689516129032253,-9.210943121108466e-07,-2.3027357802771165e-07,6.3851
1,300.5,0.001245,-3.5124317105,4.126455906821963,0.0003017116935483871,-1.0597417198480132e-06,-7.254825860174266e-07,
2,301.0,0.00193,-3.2941531580000003,4.119601328903655,0.00046849193548387095,-1.543284188771726e-06,-1.3762390631723614e-06,
3,301.5,0.0026914,-3.0758746055,4.112769485903814,0.0006544008870967743,-2.0128550704376404e-06,-2.265273877974703e-06,
4,302.0,0.0029209,-2.857596053,4.105960264900662,0.0007113804838709679,-2.032838062890908e-06,-3.27669716130684e-06,
5,302.5,0.0042840000000000005,-2.6393175005000002,4.099173553719008,0.0010450887096774195,-2.7583209210265772e-06,-4.474486907286212e-06,
6,303.0,0.007094499999999999,-2.421038948,4.092409240924092,0.0017335754032258063,-4.197053570504483e-06,-6.213330530168976e-06,
7,303.5,0.0089795,-2.2027603955000004,4.085667215815486,0.0021978050403225805,-4.841237899852861e-06,-8.472903397758313e-06,
8,304.0,0.0094701,-1.9844818430000002,4.078947368421052,0.002321701935483871,-4.6073753358257006e-06,-1.0835056706677953e-05,
9,304.5,0.011953,-1.7662032905000002,4.072249589490969,0.0029352326612903223,-5.18421758475404e-06,-1.3282954936822889e-05,
10,305.0,0.016463,-1.547924738,4.065573770491803,0.0040493669354838705,-6.268115252674733e-06,-1.614603814618008e-05,
11,305.5,0.018719,-2.1325138325,4.058919803600655,0.00461181814516129,-9.834765987530945e-06,-2.01717584562315e-05,
12,306.0,0.018577,-2.717102927,4.052287581699346,0.004584324193548387,-1.2456080684607237e-05,-2.5744470124266044e-05,
13,306.5,0.021108000000000002,-3.3016920215,4.045676998368679,0.005217420967741936,-1.7226317182000358e-05,-3.316506959091794e-05,
14,307.0,0.027849000000000002,-3.886281116,4.039087947882736,0.006894873387096775,-2.6795416241485154e-05,-4.417050294678932e-05,
15,307.5,0.035635,-4.4708702105,4.032520325203252,0.008836905241935485,-3.950865639918066e-05,-6.074652110695577e-05,
16,308.0,0.037837,-5.055459304999999,4.025974025974026,0.009398222580645162,-4.751233179578369e-05,-8.250176815569686e-05,
17,308.5,0.04143,-5.6400483994999995,4.019448946515397,0.010307383064516128,-5.813413935605759e-05,-0.00010891338594365718,
18,309.0,0.040534,-6.2246374939999995,4.0129449838187705,0.01010081129032258,-6.287388867756045e-05,-0.0001391653929520617,
19,309.5,0.043306,-6.8092265885,4.006462035541196,0.010809037903225805,-7.360118828674945e-05,-0.00017328416219313916,
20,310.0,0.050939,-7.393815683,4.0,0.01273475,-9.415839426908425e-05,-0.0002152240578320976,
21,310.5,0.06554,-7.0515930799,3.993558776167472,0.01641142741935484,-0.00011572670802160369,-0.0002676953334047696,
22,311.0,0.08292200000000001,-6.7093704768,3.987138263665595,0.020797372580645162,-0.0001395372775875905,-0.00033151132980706815,
23,311.5,0.08408,-6.3671478737,3.980738362760835,0.021121709677419356,-0.00013448504886148934,-0.0004000169114193381,
24,312.0,0.093376,-6.0249252706,3.9743589743589745,0.023494606451612905,-0.0001415532481331244,-0.00046902648566799155,
25,312.5,0.098984,-5.6827026675,3.968,0.024945564516129032,-0.0001417582260180998,-0.0005398543542057976,
26,313.0,0.10733,-5.3404800643999994,3.961661341853035,0.02709216935483871,-0.0001446851903408647,-0.0006114652082955388,
